Comment,Class
"Thanks for watching everyone. In the comments below, tell us whether you think the coronavirus is revealing racism.",no_hate_speech
Someone mumbled ‘coronavirus’ as they walked past me. I’m honestly fed up.,no_hate_speech
"I don’t get how some people in the comments are saying things like “but Chinese people are racist towards Africans too?” Like srsly,that doesn’t justify the racism and hate Chinese are receiving now.Its wrong to be racist no matter what,but we shouldn’t blame the whole race for something a small proportion did that wasn’t right.Fighting back racism with racism isn’t right,because of this type of thoughts people have,they’re basically normalising racism.This amount of hate towards Chinese is definitely unnecessary,and we should be fighting the virus together instead of fighting each other..",no_hate_speech
I do understand why people act like that...,no_hate_speech
Only a complete moron would blame innocent people for something that has nothing to do with them and the biggest moron doing it is trump.,no_hate_speech
This only helped me realize the Animal abuse going on in China,no_hate_speech
And Trump isn’t helping at all by calling it the Chinese Flue it has nothing to do with the Chinese race it’s just what they had to do because people were starving to death,no_hate_speech
Why would you physically attack a person that you think he or she has corona virus? 🤣,no_hate_speech
we northeast indians also face rascism before the coronavirus thing so its not a newthing for us😪,no_hate_speech
Very disturbing very rude,no_hate_speech
Racially monogamist countries have less racism than diverse countries,no_hate_speech
"Before: China scared of dark skins.


Now: Darks skins are scared of China.",no_hate_speech
i,no_hate_speech
"The Corona virus as ""awaken"" the racist virus, this whole situation it's only revealing the racism that's always been there!",no_hate_speech
"White people are racist. Because they don't know nothing and make an excuse of ruining others. I think Italy, america, china and india are unlucky.",no_hate_speech
"Just worry about the middle east okay? South Korea is now 31st place it used to be 2nd place. look at Saudi and Iran they surpassed South Korea in less than a month. HOnestly, Koreans never even placed travel ban on CHinese treated and tested them for free but they placed travel ban on us. Foreigners should be grateful. WHy do you say signing petition is racist? It's legal  political act. Koreans never attacked CHinese in person Chinese attacked Koreans in China. ANyhow, it did come from China . How come other countries dont do enough themselves and preach to SK? do you middle east broadcast Aljajeera even know what you are talking about? MERS came from the middle east just like Spanish flu is from Spain and COroan is from China.",no_hate_speech
I'm white.  Asians all look the same and this is when they are confused as looking non-white. I'm white and thankfully I do not suffer abuse for being white but I wonder whether little asian children and their mothers are also experiencing this same type of abuse.  This should not continue.,no_hate_speech
Yall are just asking for an asian man to pull out his glock,no_hate_speech
I am not a racist But I will tell you the truth Not all Asians are Chinese. They also reject the Chinese.,no_hate_speech
"""Why are many Asians around the world facing discrimination??""

 What a quaint question, coming from a European-sponsored media source. It's almost laughable. The guests may as well be on the BBC, asking the same question......which you already know the answer to. Europeans started racism against Asians, and now, through the Media, they spread it.",no_hate_speech
"Isn't Al Jazeera a tad hypocritical......for, the racism began from the Media.
Al Jareera is speaking out of both sides of it's mouth.",no_hate_speech
What about the racism Africans are getting in China.,no_hate_speech
Four horseman 🔥,no_hate_speech
A black friend of mine hates Chinese people! His grandfather died in the Korean conflict...,no_hate_speech
"i can say the topic of this video didn't age well. With China expelling Africans and not letting them enter certain places, but certain ethnicities are allowed to enter/dine shows who was truly racist this whole time.",no_hate_speech
"Hidden, really? How has it been hidden in the wide open for centuries? Please explain how it can be hidden, when it has been going on and ON?",no_hate_speech
Racist people have no right to attack an Asian or Chinese they can’t claim that the Chinese or Asian has the coronavirus just because of the looks you have no right I’m sure you wouldn’t like it if someone was bullying you every day telling you that you have the coronavirus first of all you’re not a scientist and you’re not the doctor so you didn’t know anything so just stay out of it let the scientist do the work there is a pandemic right now but you’re adding more fuel to the fire so disappointed in the world and I’m so proud of the people who are supporting the Asians and Chinese and helping them through this time,no_hate_speech
Now it’s time for the Chinese people to go through the racist stage of their life i’m really mad there is a fuel in my heart and it’s burning for all the black people out there you’ve known racism for years and now it’s time to comfort the people who are now going through it is heartbreaking to see that some of us of a cause of racism this is not acceptable fix it now before like how the whites were bullies now we are being the bullies we have to stop this if we keep on going on with this we’re not going to get the justice we deserve and so is the Chinese and Asians so we all have to support each other through this tough time,no_hate_speech
I have no sympathy..stop your whining..you boil dogs alive..before the virus you were disgustingly cruel to all your animals and still your cruelty continues...this is animal karma.. Mother Nature speaking up,no_hate_speech
"In China, they're accusing Africans of being the cause of the virus and evicting them out of their homes and hotels",no_hate_speech
"I don't think the coronavirus is the cause of greater recently EXPRESSED anti-Asian racism. I think history of Hollywood and stereotypes mostly from media and lack of mention or positive representation in school books is the cause. The virus only gives an excuse to act out on long-repressed feelings and makes it seem more okay to hate Asians, but the real cause was before the virus.",no_hate_speech
"Oh-Well! 
When Will The World Cease Being
Racist Against Brown People ?
NEVER! 
That's When",no_hate_speech
Karma is a MF. It spread to the ignorant race that hates the most. Lmao,no_hate_speech
"free Tibet free East Turkistan. CCP is racist against Tibetans and Uighars, and now playing the race card. Get out of Tibet. Free Hong Kong and Taiwan.",no_hate_speech
"Because people are so ignorant nowadays. It's not people, its government s. BIG DIFFERENCE",no_hate_speech
"I really don't believe that international racism exist. I belive that international racism is governmental racism, and I'm all in for that",no_hate_speech
"It's NOT the CHinese people, It's their  CCP Govt.",no_hate_speech
"Japanese, Vietnamese, Malaysian, Filipino DO NOT like the CHINESE racism too! Dr Tedros of WHO MUST RESIGN. HE WAS BOUGHT BY CCP!",no_hate_speech
"Chinese people should understand that if they tolerate CCP govt., they are NOT part of the solution.",no_hate_speech
China gave us the virus. CCP. How is this racist. Grow up. I don't  blame the world. Wet markets.,no_hate_speech
"people have been waiting for this virus for a long time now, this is their chance to talk bullshit",no_hate_speech
SEND A BLACK PERSON TO CHINA 🇨🇳 AND LET ME KNOW WHAT HAPPENS.,no_hate_speech
Donald Trump's China policies on trade is another factor compounded racism. Blaming China  for the short falls of the US economy also re-enforces the white supremacist attitude towards Chinese and other color minorities. China's rise and success also grows a lot of sour grapes.,no_hate_speech
already the rest of the world lost this bio war and they have to plead with china for our vaccine.leave them counting deaths..,no_hate_speech
"Anti musim first,now  it is anti Chinese ,later may be anti indian.",no_hate_speech
"Pointing fingers wouldn't bring back the thousands of people dead it would just cause hate and division among the ones alive. Please people this is the time to work together . We are all on the same team and covid-19 is on the opposite. And to all you keyboard worious who are sitting behind their phone screen like little coward s thinking they could have done better if the unfortunate virus started in their country, how about you get out there and prove  it . Volunteer !!! Don't just sit there and point fingers.",no_hate_speech
"there is a lot of jealousy on Asian nations economical and other successes :( it is sad, people who are racists they have a pea size brain and have achieve little in the life...and it bothers them seeing other people who have achieved.",no_hate_speech
"How to Respond to Racism from Coronavirus?


Asian americans…...buy guns…..alot of guns! Roof Korea=Best Korea!",no_hate_speech
"🤣🤣🤣🤣 racism. The virus doesn't care what color you are, it wants us all dead.",no_hate_speech
Oh that girl that keeps saying Um... I can't listen anymore,no_hate_speech
